EPOCH: 0, MEAN FITNESS: 0.559999
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00100000000000000000000000000000,0.6,
00000000000000000000000000000000,0.56,
00000000010000000000000000000000,0.52,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00100000000000000000000000000000,0.6,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00010000000000000000000000000000,0.52,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000001000000000000000000,0.52,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
00000000000000000000000000000000,0.56,
